t,Va,Vb,Vc
0.0106,-61.1975,308.432,-247.234,555.666,2844
0.0107,-71.2442,311.653,-240.409,552.062,2825
0.0108,-81.2207,314.567,-233.347,547.914,2804
0.0109,-91.1171,317.171,-226.054,543.225,2780
0.011,-100.923,319.461,-218.538,537.999,2753
0.0111,-110.63,321.437,-210.807,532.243,2724
0.0112,-120.228,323.095,-202.867,525.962,2692
0.0113,-129.707,324.434,-194.727,519.161,2657
0.0114,-139.058,325.453,-186.395,511.848,2620
0.0115,-148.272,326.151,-177.879,504.03,2580
0.0116,-157.339,326.527,-169.188,495.715,2537
0.0117,-166.251,326.581,-160.33,486.91,2492
0.0118,-174.999,326.312,-151.313,477.625,2444
0.0119,-183.575,325.722,-142.147,467.869,2394
0.012,-191.969,324.81,-132.841,457.65,2342
0.0121,-200.174,323.577,-123.403,446.98,2287
0.0122,-208.181,322.025,-113.844,435.87,2231
0.0123,-215.983,320.155,-104.173,424.328,2172
0.0124,-223.571,317.97,-94.3987,412.369,2110
0.0125,-230.939,315.47,-84.5314,400.002,2047
0.0126,-238.079,312.66,-74.5805,387.24,1982
0.0127,-244.984,309.54,-64.5561,374.096,1914
0.0128,-251.648,306.116,-54.4679,360.583,1845
0.0129,-258.063,302.389,-44.326,346.715,1774
0.013,-264.223,298.363,-34.1403,332.504,1702
0.0131,-270.123,294.044,-23.9209,317.964,1627
0.0132,-275.756,289.434,-13.678,303.112,1551
0.0133,-281.116,284.538,-3.42152,287.959,1473
0.0134,-286.2,279.362,6.83816,293.038,1499
0.0135,-291.001,273.91,17.0913,308.092,1577
0.0136,-295.515,268.187,27.3275,322.842,1652
0.0137,-299.737,262.2,37.5367,337.274,1726
0.0138,-303.663,255.954,47.709,351.372,1798
0.0139,-307.29,249.456,57.8341,365.124,1868
0.014,-310.613,242.711,67.9021,378.515,1937
0.0141,-313.63,235.727,77.9032,391.533,2004
0.0142,-316.338,228.51,87.8272,404.165,2068
0.0143,-318.733,221.068,97.6647,416.397,2131
0.0144,-320.813,213.408,107.406,428.219,2191
0.0145,-322.577,205.537,117.041,439.618,2250
0.0146,-324.023,197.463,126.56,450.584,2306
0.0147,-325.149,189.194,135.955,461.104,2360
0.0148,-325.954,180.738,145.216,471.17,2411
0.0149,-326.437,172.105,154.333,480.77,2460
0.015,-326.599,163.301,163.298,489.896,2507
0.0151,-326.438,154.336,172.101,498.539,2551
0.0152,-325.954,145.219,180.735,506.69,2593
0.0153,-325.149,135.958,189.191,514.34,2632
0.0154,-324.024,126.564,197.46,521.483,2669
0.0155,-322.578,117.044,205.534,528.112,2703
0.0156,-320.814,107.409,213.405,534.219,2734
0.0157,-318.734,97.6682,221.065,539.799,2763
0.0158,-316.338,87.8308,228.508,544.846,2788
0.0159,-313.631,77.9066,235.725,549.356,2812
0.016,-310.614,67.9056,242.709,553.323,2832
0.0161,-307.291,57.8376,249.453,556.745,2849
0.0162,-303.664,47.7125,255.952,559.616,2864
0.0163,-299.738,37.5404,262.198,561.936,2876
0.0164,-295.516,27.3312,268.185,563.701,2885
0.0165,-291.002,17.095,273.908,564.91,2891
0.0166,-286.202,6.84189,279.36,565.561,2894
0.0167,-281.118,-3.41795,284.536,565.654,2895
0.0168,-275.757,-13.6744,289.432,565.189,2893
0.0169,-270.125,-23.9174,294.042,564.167,2887
0.017,-264.225,-34.1368,298.362,562.587,2879
0.0171,-258.065,-44.3223,302.387,560.452,2868
0.0172,-251.65,-54.4642,306.114,557.764,2855
0.0173,-244.987,-64.5524,309.539,554.526,2838
0.0174,-238.082,-74.5769,312.659,550.74,2819
0.0175,-230.942,-84.5278,315.469,546.411,2796
0.0176,-223.574,-94.3952,317.969,541.543,2772
0.0177,-215.985,-104.17,320.155,536.14,2744
0.0178,-208.184,-113.841,322.025,530.208,2714
0.0179,-200.176,-123.4,323.577,523.753,2680
0.018,-191.972,-132.837,324.809,516.781,2645
0.0181,-183.578,-142.144,325.721,509.299,2606
0.0182,-175.002,-151.31,326.312,501.314,2566
0.0183,-166.254,-160.326,326.581,492.835,2522
0.0184,-157.342,-169.185,326.527,483.869,2476
0.0185,-148.275,-177.876,326.151,474.426,2428
0.0186,-139.061,-186.392,325.453,464.515,2377
0.0187,-129.71,-194.724,324.434,454.145,2324
0.0188,-120.231,-202.864,323.095,443.327,2269
0.0189,-110.634,-210.804,321.437,432.071,2211
0.019,-100.927,-218.535,319.462,420.389,2151
0.0191,-91.1205,-226.051,317.172,408.292,2089
0.0192,-81.2242,-233.344,314.568,395.792,2025
0.0193,-71.2478,-240.407,311.654,382.902,1959
0.0194,-61.201,-247.232,308.433,369.634,1892
0.0195,-51.0939,-253.813,304.907,356.001,1822
0.0196,-40.9362,-260.144,301.08,342.016,1750
0.0197,-30.7382,-266.218,296.956,327.695,1677
0.0198,-20.5099,-272.029,292.539,313.049,1602
0.0199,-10.2613,-277.572,287.834,298.095,1525
0.02,-0.00274611,-282.841,282.844,282.847,1447
0.0201,10.256,-287.831,277.575,298.087,1525
0.0202,20.5046,-292.537,272.032,313.042,1602
0.0203,30.7329,-296.954,266.221,327.687,1677
0.0204,40.931,-301.078,260.147,342.009,1750
0.0205,51.0886,-304.905,253.817,355.994,1822
0.0206,61.1958,-308.431,247.235,369.627,1892
0.0207,71.2425,-311.653,240.41,382.895,1959
0.0208,81.219,-314.567,233.348,395.786,2025
